id,inbd,el,slope,npp,lcH,MAT,geometry
4245,TRUE,620.3072956978007,6.063148296173097,0.7593325078487396,1.2891044185562264,97.272735595703125,"list(c(552306.999674684, 553306.999674684, 553306.999674684, 552306.999674684, 552306.999674684, 158075.236743745, 158075.236743745, 157075.236743745, 157075.236743745, 158075.236743745))"
4246,TRUE,682.7002706730619,9.036125100490187,0.8484774976968765,1.4179612094303227,94.19927215576172,"list(c(553306.999674684, 554306.999674684, 554306.999674684, 553306.999674684, 553306.999674684, 158075.236743745, 158075.236743745, 157075.236743745, 157075.236743745, 158075.236743745))"
4247,TRUE,762.2717723034798,9.01662206620077,0.8544374853372574,1.6519941163744931,89.29173278808594,"list(c(554306.999674684, 555306.999674684, 555306.999674684, 554306.999674684, 554306.999674684, 158075.236743745, 158075.236743745, 157075.236743745, 157075.236743745, 158075.236743745))"
4250,TRUE,839.0845726905985,6.762636149618902,0.8274975121021271,1.1643764671195977,85.02014541625977,"list(c(557306.999674684, 558306.999674684, 558306.999674684, 557306.999674684, 557306.999674684, 158075.236743745, 158075.236743745, 157075.236743745, 157075.236743745, 158075.236743745))"
4284,TRUE,1167.8735386979417,14.682887661232638,0.8191275000572205,1.3423143163107338,65.2828369140625,"list(c(500306.999674684, 501306.999674684, 501306.999674684, 500306.999674684, 500306.999674684, 157075.236743745, 157075.236743745, 156075.236743745, 156075.236743745, 157075.236743745))"
4285,TRUE,1073.2072705657115,12.786698363677045,0.7994199991226196,1.8091571696853228,69.78765106201172,"list(c(501306.999674684, 502306.999674684, 502306.999674684, 501306.999674684, 501306.999674684, 157075.236743745, 157075.236743745, 156075.236743745, 156075.236743745, 157075.236743745))"
4290,TRUE,1317.1830666675482,10.017183902305225,0.7330899983644485,1.3466098301776301,55.15744590759277,"list(c(506306.999674684, 507306.999674684, 507306.999674684, 506306.999674684, 506306.999674684, 157075.236743745, 157075.236743745, 156075.236743745, 156075.236743745, 157075.236743745))"
4291,TRUE,1348.2307387843277,9.707240937931465,0.7396824955940247,1.2287711243385788,54.35051727294922,"list(c(507306.999674684, 508306.999674684, 508306.999674684, 507306.999674684, 507306.999674684, 157075.236743745, 157075.236743745, 156075.236743745, 156075.236743745, 157075.236743745))"
4292,TRUE,1410.574465881387,11.893950446879085,0.766557514667511,1.2317686359786724,52.23435592651367,"list(c(508306.999674684, 509306.999674684, 509306.999674684, 508306.999674684, 508306.999674684, 157075.236743745, 157075.236743745, 156075.236743745, 156075.236743745, 157075.236743745))"
4294,TRUE,1426.4141854360594,13.547205633449792,0.779932513833046,1.3211983781193537,49.05351257324219,"list(c(510306.999674684, 511306.999674684, 511306.999674684, 510306.999674684, 510306.999674684, 157075.236743745, 157075.236743745, 156075.236743745, 156075.236743745, 157075.236743745))"
4295,TRUE,1342.6231489544296,10.04322268877112,0.7931424826383591,1.193659638747535,53.04305076599121,"list(c(511306.999674684, 512306.999674684, 512306.999674684, 511306.999674684, 511306.999674684, 157075.236743745, 157075.236743745, 156075.236743745, 156075.236743745, 157075.236743745))"
4297,TRUE,1008.1111258943953,22.922840384945918,0.8252899944782257,1.2095854044364374,67.9915657043457,"list(c(513306.999674684, 514306.999674684, 514306.999674684, 513306.999674684, 513306.999674684, 157075.236743745, 157075.236743745, 156075.236743745, 156075.236743745, 157075.236743745))"
4298,TRUE,803.1613523973948,10.96957483924744,0.8310750126838684,1.6900035036074101,80.99674987792969,"list(c(514306.999674684, 515306.999674684, 515306.999674684, 514306.999674684, 514306.999674684, 157075.236743745, 157075.236743745, 156075.236743745, 156075.236743745, 157075.236743745))"
4302,TRUE,696.2333429116422,5.01172531049209,0.78360748291015625,0.7454239975762641,93.41338348388672,"list(c(518306.999674684, 519306.999674684, 519306.999674684, 518306.999674684, 518306.999674684, 157075.236743745, 157075.236743745, 156075.236743745, 156075.236743745, 157075.236743745))"
4304,TRUE,693.2523226415166,8.01433547615618,0.874880000948906,1.656076151241204,93.41274642944336,"list(c(520306.999674684, 521306.999674684, 521306.999674684, 520306.999674684, 520306.999674684, 157075.236743745, 157075.236743745, 156075.236743745, 156075.236743745, 157075.236743745))"
4306,TRUE,627.1607197331737,6.072115478272565,0.775457501411438,1.4771291456763762,96.43194580078125,"list(c(522306.999674684, 523306.999674684, 523306.999674684, 522306.999674684, 522306.999674684, 157075.236743745, 157075.236743745, 156075.236743745, 156075.236743745, 157075.236743745))"
4310,TRUE,500.8269551988573,5.641914803669735,0.7117200195789337,0.4680905294249457,104.53313446044922,"list(c(526306.999674684, 527306.999674684, 527306.999674684, 526306.999674684, 526306.999674684, 157075.236743745, 157075.236743745, 156075.236743745, 156075.236743745, 157075.236743745))"
4311,TRUE,494.4609654596896,6.830422299083813,0.726892501115799,0.7413007193070699,105.19694900512695,"list(c(527306.999674684, 528306.999674684, 528306.999674684, 527306.999674684, 527306.999674684, 157075.236743745, 157075.236743745, 156075.236743745, 156075.236743745, 157075.236743745))"
4313,TRUE,451.45603249289775,9.105064460349896,0.7811899930238724,1.8082560340468379,108.25408554077148,"list(c(529306.999674684, 530306.999674684, 530306.999674684, 529306.999674684, 529306.999674684, 157075.236743745, 157075.236743745, 156075.236743745, 156075.236743745, 157075.236743745))"
4314,TRUE,424.2808971491112,8.369422060310642,0.8260949999094009,1.904764846283014,109.02074432373047,"list(c(530306.999674684, 531306.999674684, 531306.999674684, 530306.999674684, 530306.999674684, 157075.236743745, 157075.236743745, 156075.236743745, 156075.236743745, 157075.236743745))"
4315,TRUE,451.79344819669643,6.329753633574449,0.69132000207901,0.9545783307226772,107.40232849121094,"list(c(531306.999674684, 532306.999674684, 532306.999674684, 531306.999674684, 531306.999674684, 157075.236743745, 157075.236743745, 156075.236743745, 156075.236743745, 157075.236743745))"
4316,TRUE,469.4968407518398,7.373097946262967,NaN,1.4465850427700602,106.08550643920898,"list(c(532306.999674684, 533306.999674684, 533306.999674684, 532306.999674684, 532306.999674684, 157075.236743745, 157075.236743745, 156075.236743745, 156075.236743745, 157075.236743745))"
4317,TRUE,474.188394395249,6.295248264200047,0.6927266716957092,1.2425708357399372,104.84243774414062,"list(c(533306.999674684, 534306.999674684, 534306.999674684, 533306.999674684, 533306.999674684, 157075.236743745, 157075.236743745, 156075.236743745, 156075.236743745, 157075.236743745))"
