species,genus,sNum,gNum,Dprior,FullSpp,FullGrp,FullGen,FullTribe,FullSF,FullF
Pone_test,Pone,62,16,1,testacea,Ponera,Ponera,Ponerini,Ponerinae,Formicidae
Sole_fuga,Sole,63,17,1,fugax,Solenopsis,Solenopsis,Solenopsidini,Myrmicinae,Formicidae
Sten_debi,Sten,64,18,1,debile,Stenamma,Stenamma,Stenammini,Myrmicinae,Formicidae
Tapi_erra-GR,Tapi,65,19,1,erraticum,Tapinoma,Tapinoma,Tapinomini,Dolichoderinae,Formicidae
Tapi_subb,Tapi,66,19,1,subboreale,Tapinoma,Tapinoma,Tapinomini,Dolichoderinae,Formicidae
Temn_affi,Temn,67,20,1,affinis,Temnothorax,Temnothorax,Crematogastrini,Myrmicinae,Formicidae
Temn_cort,Temn,68,20,1,corticalis,Temnothorax,Temnothorax,Crematogastrini,Myrmicinae,Formicidae
Temn_inte,Temn,69,20,1,interruptus,Temnothorax,Temnothorax,Crematogastrini,Myrmicinae,Formicidae
Temn_lute,Temn,70,20,1,luteus,Temnothorax,Temnothorax,Crematogastrini,Myrmicinae,Formicidae
Temn_nigr,Temn,71,20,1,nigriceps,Temnothorax,Temnothorax,Crematogastrini,Myrmicinae,Formicidae
Temn_nyla-GR,Temn,72,20,1,nylanderi,Temnothorax,Temnothorax,Crematogastrini,Myrmicinae,Formicidae
Temn_parv,Temn,73,20,1,parvulus,Temnothorax,Temnothorax,Crematogastrini,Myrmicinae,Formicidae
Temn_tube-GR,Temn,74,20,1,tuberum,Temnothorax,Temnothorax,Crematogastrini,Myrmicinae,Formicidae
Temn_unif-GR,Temn,75,20,1,unifasciatus,Temnothorax,Temnothorax,Crematogastrini,Myrmicinae,Formicidae
Tetr_alpe,Tetr,76,21,1,alpestre,caespitum,Tetramorium,Crematogastrini,Myrmicinae,Formicidae
Tetr_caes-GR,Tetr,77,21,1,caespitum,caespitum,Tetramorium,Crematogastrini,Myrmicinae,Formicidae
Tetr_immi,Tetr,78,21,1,immigrans,caespitum,Tetramorium,Crematogastrini,Myrmicinae,Formicidae
Tetr_impu,Tetr,79,21,1,impurum,caespitum,Tetramorium,Crematogastrini,Myrmicinae,Formicidae
Tetr_semi,Tetr,80,21,1,semilaeve,caespitum,Tetramorium,Crematogastrini,Myrmicinae,Formicidae
