"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"WY_12__R_bldgPer",0,0,-3749.2117988363,128.09555028938,371.156163356123,25.5624980760177,7498.4235976726,256.191100578759
"WY_12__R_Edge",-14.6745980196855,8.49996669177245,-3763.88639685604,130.356195375374,390.933723970906,28.4434453309585,7527.77279371208,260.712390750748
"WY_12__R_lcH",-29.0154910023691,9.5376276963177,-3778.22728983867,128.637323039826,380.007997800514,26.7691577627299,7556.45457967733,257.274646079652
