"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Y_6__L_VegTot",0,0,-3813.41498597253,133.126832212466,428.390349375077,33.669211342617,7626.82997194506,266.253664424931
"Y_6__R_rdLen",-4.92166562006498,7.49517484973532,-3818.33665159256,133.127065989077,429.023902151339,33.0414479939056,7636.67330318511,266.254131978154
"Y_6__R_bldgPer",-6.17622165834268,6.38974925816393,-3819.59120763081,133.07721283989,425.86452898605,33.4147152935515,7639.18241526162,266.154425679781
"Y_6__R_lcH",-13.2769080596802,8.34135587587544,-3826.69189403224,133.303928271722,434.421058882816,33.3093654113951,7653.38378806447,266.607856543445
"Y_6__R_Edge",-14.1167652337438,10.8248018341419,-3827.53175120626,134.13450290194,458.186460539234,34.8942921160343,7655.06350241252,268.26900580388
"Y_6__R_npp",-14.9481387447806,8.54435500805194,-3828.36312471731,133.812588095604,443.754403962756,34.3860523083044,7656.72624943462,267.625176191208
"Y_6__R_aspctN",-15.2069422659027,8.63278990222457,-3828.62192823843,133.658824145691,428.210466136299,33.1139128809188,7657.24385647687,267.317648291381
"Y_6__R_Forest",-58.2539269041229,14.9304277119239,-3871.66891287663,134.164887895162,482.519384683001,36.2481513007428,7743.33782575327,268.329775790325
"Y_6__R_AP",-103.210706644441,17.7335528936702,-3916.62569261695,133.915340483256,497.414252944021,33.8520249897824,7833.2513852339,267.830680966511
