"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"WY_6__R_rdLen",0,0,-3695.49331701804,127.682269028426,324.810445722289,26.9077065973592,7390.98663403607,255.364538056851
"WY_6__L_Built",-4.04824879114121,8.43842466086155,-3699.54156580919,127.714552495361,326.962376030375,26.4260746897657,7399.08313161837,255.429104990723
"WY_6__R_aspctN",-6.1536595112512,9.99941436749395,-3701.64697652924,127.592835993395,320.65748284883,26.0588608807836,7403.29395305849,255.18567198679
"WY_6__R_npp",-6.21921755124717,8.93284827861605,-3701.71253456927,128.759803649891,328.722049388523,28.7719361490524,7403.42506913853,257.519607299782
"WY_6__L_VegTot",-10.83802312258,8.85889388356291,-3706.3313401406,128.003886960125,331.546637544535,26.5243398591878,7412.6626802812,256.00777392025
"WY_6__R_lcH",-12.8593405960442,11.0730356339863,-3708.35265761408,127.217991380076,331.528268274297,26.6312605882772,7416.70531522817,254.435982760151
"WY_6__R_Edge",-20.7750761927082,9.31987145055016,-3716.26839321073,128.740542252894,335.61052273606,27.2739989192138,7432.53678642146,257.481084505789
"WY_6__R_bldgPer",-28.655471844285,10.6854898086099,-3724.1487888623,128.266394319896,333.890573868877,27.6795620203544,7448.2975777246,256.532788639792
"WY_6__R_AP",-31.5584505282503,16.09132341952,-3727.05176754627,126.907197130674,332.215459416825,24.8333169552388,7454.10353509253,253.814394261347
