"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"WY_10__L_Built",0,0,-3725.8035792088,128.48525627751,360.912933243415,27.3044478041814,7451.6071584176,256.970512555019
"WY_10__R_aspctN",-3.92816494761989,5.5969162495215,-3729.7317441564,128.566484089604,358.082713367778,26.9029106202943,7459.46348831281,257.132968179208
"WY_10__R_Edge",-6.88638844165195,5.73973014517836,-3732.68996765048,129.634342923408,368.144630703103,28.4898887886946,7465.37993530096,259.268685846815
"WY_10__R_lcH",-13.785142807219,6.71236816709661,-3739.58872201601,127.974938976969,369.197014909567,27.2840938556592,7479.17744403202,255.949877953937
"WY_10__R_bldgPer",-14.5769149787372,7.19941361116867,-3740.38049418749,128.110972967066,360.100207453727,26.2920941955974,7480.76098837499,256.221945934132
