"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Y_9__R_rdLen",0,0,-3910.53013050019,136.01070972703,484.340591870282,35.8723944491978,7821.06026100038,272.021419454061
"Y_9__R_aspctN",-9.13873664881475,13.2777298676765,-3919.66886714893,137.763501831313,507.918722146784,37.8157823620561,7839.33773429786,275.527003662627
"Y_9__R_npp",-18.9943613757052,11.2101257009694,-3929.52449187582,136.773260071661,515.435643495036,37.1069702012883,7859.04898375165,273.546520143322
"Y_9__R_AP",-105.147279436751,21.3651787686702,-4015.67740993687,137.40171887356,573.039610543315,37.4580069631622,8031.35481987374,274.803437747121
"Y_9__R_Forest",-106.335419188128,26.4139596887942,-4016.86554968827,138.513114221361,596.271297226383,44.4839897608462,8033.73109937654,277.026228442722
"Y_9__R_Edge",-271.417818969248,55.0924556893426,-4181.94794946934,148.707171393665,752.972273120749,64.7229991500716,8363.89589893868,297.41434278733
