"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Y_7__R_bldgPer",0,0,-3839.33716219897,133.745391581381,440.696241509037,34.2640830846103,7678.67432439795,267.490783162761
"Y_7__R_Edge",-1.4055429057125,12.3413132649292,-3840.74270510466,134.026956169406,466.100922546309,33.9086835919847,7681.48541020932,268.053912338813
"Y_7__R_rdLen",-3.29133006224624,7.86583811657894,-3842.62849226128,133.981689863796,448.28720338499,34.0861622387628,7685.25698452256,267.963379727592
"Y_7__R_lcH",-13.2027652603681,11.3181049883156,-3852.53992745935,134.053309105575,451.440685606626,34.1380325249968,7705.07985491871,268.106618211149
"Y_7__R_npp",-14.6050262293888,8.54666202975097,-3853.94218842836,134.605720808536,464.007349193384,35.2282326579219,7707.88437685673,269.211441617073
"Y_7__R_aspctN",-21.5495722293243,10.9896763085766,-3860.88673442828,135.203912022845,454.901759276903,35.2899150935206,7721.77346885657,270.40782404569
"Y_7__R_Forest",-41.6287425265614,12.7604045423401,-3880.96590472554,134.191740722381,488.260894872903,35.3270241211337,7761.93180945108,268.383481444761
"Y_7__R_AP",-97.9751899558,20.2789328986962,-3937.31235215483,133.959900249342,503.048624103623,33.6992333813504,7874.62470430966,267.919800498684
