"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"WY_5__L_Pasture",0,0,-3690.35250629888,127.456129593374,317.878094393617,26.45249619421,7380.70501259777,254.912259186748
"WY_5__R_lcH",-5.98983522937136,11.9937734776263,-3696.34234152819,126.916593992376,287.072167308906,24.7280363998704,7392.68468305638,253.833187984752
"WY_5__R_rdLen",-11.4805614791324,13.2355415989916,-3701.83306777796,127.538577244869,295.535007793269,26.5457761631694,7403.66613555593,255.077154489738
"WY_5__R_npp",-15.1846903057095,11.2296904729702,-3705.53719660453,128.167107269871,295.626309072444,26.5494249345037,7411.07439320906,256.334214539741
"WY_5__L_Built",-20.8146341698143,10.9536118892941,-3711.16714046869,128.06107050493,306.023001427091,26.8487743155577,7422.33428093738,256.122141009861
"WY_5__R_aspctN",-22.2694664861696,11.708466030974,-3712.62197278507,127.772768353367,296.810137402551,26.022880351034,7425.24394557013,255.545536706734
"WY_5__L_VegTot",-23.0020247170387,11.7462845068549,-3713.35453101587,128.539406220092,309.565551778259,27.902608354571,7426.70906203174,257.078812440184
"WY_5__R_Edge",-29.1229268531416,11.4285252172422,-3719.47543315201,128.598106975082,304.621871719824,26.3397809442606,7438.95086630403,257.196213950165
"WY_5__R_bldgPer",-34.4425509662009,14.2347955314207,-3724.79505726509,127.600539461744,297.082890529337,25.3835411479698,7449.59011453018,255.201078923489
"WY_5__R_AP",-48.2253605345165,16.5373426906843,-3738.57786683338,126.885405709254,304.258998504436,24.8590817215033,7477.15573366676,253.770811418508
