"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"WY_4__R_Forest",0,0,-3698.91870678977,127.416777815936,288.613584893979,25.2764541600224,7397.83741357954,254.833555631872
"WY_4__L_Pasture",-4.8271145010446,15.1469700477408,-3703.74582129086,129.410734562491,331.863297776058,30.3330400132827,7407.49164258171,258.821469124981
"WY_4__L_Built",-14.6421673809426,11.2860977067894,-3713.56087417078,128.759813934694,309.51764669719,28.2242711262302,7427.12174834156,257.519627869388
"WY_4__R_lcH",-15.0677239037595,11.1201936858487,-3713.98643069354,129.050611971565,305.492963275395,28.9010932781864,7427.97286138708,258.10122394313
"WY_4__R_npp",-18.8473758452976,10.9732225203889,-3717.76608263506,129.543345113825,307.623088824736,28.9056418557627,7435.53216527013,259.08669022765
"WY_4__L_VegTot",-19.5850819694562,12.2507764341256,-3718.50378875926,129.002834723101,313.281795740554,28.1193794734102,7437.00757751852,258.005669446202
"WY_4__R_aspctN",-20.7634213561839,12.6328134232972,-3719.68212814601,129.766838270729,307.161364928478,29.8407179370937,7439.36425629202,259.533676541458
"WY_4__R_rdLen",-25.9470858957623,13.9845260552799,-3724.86579268553,129.258023964231,308.977795775389,29.0431766227557,7449.73158537105,258.516047928461
"WY_4__R_Edge",-31.9307666663218,12.3944689890184,-3730.8494734561,130.542910498601,318.96066778086,30.3815549594691,7461.69894691221,261.085820997202
"WY_4__R_bldgPer",-33.4981791996449,14.4346547311977,-3732.41688598946,127.870892693525,288.043402289258,25.5323771048794,7464.83377197892,255.741785387051
"WY_4__R_AP",-72.8103354464516,18.6073871250581,-3771.72904223626,128.277166933097,319.30795353703,27.3658228066165,7543.45808447252,256.554333866193
