"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Y_10__R_aspctN",0,0,-3949.29774341993,137.725838762517,523.271561106362,36.5182607486234,7898.59548683987,275.451677525033
"Y_10__R_AP",-39.0911446294198,14.4099462671332,-3988.38888804936,137.833017722661,569.589022997281,37.922069187144,7976.77777609872,275.666035445321
"Y_10__R_npp",-81.0202296559729,36.1653681431254,-4030.31797307592,143.19698925445,592.408746957173,52.215206338116,8060.63594615185,286.3939785089
"Y_10__R_Forest",-201.504383882868,51.8450066620148,-4150.80212730282,148.031881664284,710.785123464869,65.2463714968011,8301.60425460564,296.063763328568
"Y_10__R_Edge",-204.905101961726,41.9662933296095,-4154.20284538167,144.219921825213,713.214361582236,52.6567941250886,8308.40569076335,288.439843650425
