"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Y_5__L_Crop",0,0,-810.776657933481,57.4677531159453,55.4106919572771,7.90397570733094,1621.55331586696,114.935506231891
"Y_4__L_CnpyMxd",-3.61908573847747,3.89967129832606,-814.395743671959,57.736648398598,52.5765011739374,7.43968111677674,1628.79148734392,115.473296797196
"Y_5__L_aspctN",-3.62300726040969,4.1691413889942,-814.399665193895,57.758017445705,56.044245871676,7.79725291227658,1628.79933038779,115.51603489141
"Y_5__L_SoilTSt",-3.87862456517824,6.05336826694615,-814.655282498664,58.2699439968468,57.6492802303633,9.0728839512648,1629.31056499733,116.539887993694
"Y_4__L_SoilTSt",-6.95930688165406,7.2840607990506,-817.735964815144,57.907271236645,50.9520451962769,7.28690587610088,1635.47192963029,115.81454247329
"Y_5__L_Pasture",-7.63550033429145,5.50358151560919,-818.412158267776,58.53430675175,58.50146126071,8.5160555322813,1636.82431653555,117.0686135035
"Y_4__L_VegTot",-9.61417635787026,5.96105508832779,-820.390834291352,57.5386678899992,52.7382783276526,7.667742862694,1640.7816685827,115.077335779998
"Y_5__L_VegTot",-9.98110429958429,5.28807777571459,-820.757762233071,58.5258922715636,61.5282406891072,9.45928883394745,1641.51552446614,117.051784543127
"Y_3__R_rdLen",-10.2313329141681,6.19141230576101,-821.007990847636,58.0339617608753,48.254166469297,7.22440478285351,1642.01598169527,116.067923521751
"Y_5__R_npp",-10.3595470192907,5.39185431837589,-821.136204952773,58.4334992429216,58.9429173368112,8.53638555260662,1642.27240990555,116.866998485843
"Y_4__L_Crop",-10.9269007589276,5.29345754163205,-821.703558692406,58.0642692091191,50.574841846347,7.02291852347849,1643.40711738481,116.128538418238
"Y_5__R_aspctN",-11.8690891394061,4.96849954157748,-822.645747072898,58.9065869439113,57.6214080899887,8.58683307020599,1645.2914941458,117.813173887823
"Y_5__R_grwnDD0",-12.2668744607821,5.80607238526247,-823.043532394261,58.5848719901623,66.9604152730131,8.99349950439824,1646.08706478852,117.169743980325
