"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Y_1__R_grwnDD0",0,0,-3844.98082441377,129.520893335835,252.653719048529,25.9248252509972,7689.96164882754,259.04178667167
"Y_1__L_CnpyOpn",-93.7434782530751,32.7582076693019,-3938.72430266647,131.0904225542,155.124686467127,16.0843035679976,7877.44860533295,262.1808451084
"Y_1__L_Pasture",-97.5698099945832,32.093014304592,-3942.55063440879,130.039574830463,208.238402426557,19.8105793625242,7885.10126881757,260.079149660926
"Y_1__R_Edge",-97.9779387455651,28.7060574571842,-3942.9587631592,128.680942348147,173.553535844803,16.6860700197949,7885.9175263184,257.361884696294
"Y_1__L_SoilTSt",-98.6411520381768,30.7288244558153,-3943.62197645173,128.193840816056,153.839346461725,14.8487436701112,7887.24395290347,256.387681632111
"Y_1__R_rdLen",-104.63653474651,28.9334186731388,-3949.61735916007,128.082471024184,163.289895501647,14.8990393490931,7899.23471832015,256.164942048369
"Y_1__L_VegTot",-157.25362257863,30.203771064009,-4002.23444699233,129.090695984688,151.988088787007,14.7278288537704,8004.46889398467,258.181391969376
"Y_1__L_Built",-158.772032197871,29.6015280184857,-4003.75285661196,129.195764632512,143.079519170859,13.6742096041427,8007.50571322392,258.391529265023
"Y_1__R_bldgPer",-159.857459130032,29.8987023450807,-4004.83828354391,129.682420437333,149.118482976508,14.6398198309124,8009.67656708782,259.364840874666
"Y_1__R_lcH",-192.591891420392,31.3684813075896,-4037.57271583397,130.852776402875,150.594699893076,14.1652783735492,8075.14543166793,261.705552805749
"Y_1__R_aspctN",-192.904831185249,29.7986563823918,-4037.88565559892,131.452014573864,165.860576006405,16.0722735500985,8075.77131119785,262.904029147728
"Y_1__R_npp",-248.727008784055,32.5207055247577,-4093.70783319746,130.772757720018,231.43065878629,21.1773832191895,8187.41566639492,261.545515440037
"Y_1__R_Forest",-280.108363662111,35.479265332249,-4125.08918807545,132.941463845797,204.247162226038,18.4136508317138,8250.17837615089,265.882927691593
"Y_1__R_AP",-354.628208746016,40.8089844588746,-4199.60903315968,130.796891283719,313.896337572297,22.7260162046748,8399.21806631937,261.593782567439
