"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Y_5__L_Built",0,0,-3793.4246204317,132.691183455682,415.492978248447,33.6942707581496,7586.84924086339,265.382366911364
"Y_5__L_VegTot",-1.98102922720743,6.68743767277011,-3795.40564965893,132.442603454293,410.280296710244,32.7272193147701,7590.81129931786,264.885206908587
"Y_5__R_bldgPer",-12.0832729405327,6.5393426411707,-3805.50789337225,132.434699523283,414.105334152565,32.7211514655892,7611.0157867445,264.869399046566
"Y_5__R_rdLen",-19.0460546795629,8.01723664221703,-3812.47067511129,133.107472514614,421.171993878725,32.943963575567,7624.94135022257,266.214945029228
"Y_5__R_Edge",-26.0381934631519,10.50138067816,-3819.4628138949,134.357765193306,448.181500154644,35.5421371857924,7638.9256277898,268.715530386613
"Y_5__R_lcH",-30.6615025509104,9.51543318655783,-3824.08612298267,133.39603182385,430.098985077492,33.7918818370622,7648.17224596534,266.7920636477
"Y_5__R_npp",-30.8145544363799,11.0079745625458,-3824.23917486811,133.705972702696,435.527751551794,34.7673538608297,7648.47834973623,267.411945405393
"Y_5__R_aspctN",-33.9246009889956,8.07861602034139,-3827.34922142071,134.228952505781,428.03122832568,34.1524457461431,7654.69844284143,268.457905011563
"Y_5__R_Forest",-87.5468987468069,18.7653964181166,-3880.97151917852,134.672776678102,491.185770342824,38.2195068555101,7761.94303835704,269.345553356204
"Y_5__R_AP",-112.688529950377,18.2393311461079,-3906.11315038209,134.045674534382,484.496328414776,34.4926362370276,7812.22630076418,268.091349068765
