"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"WY_1__R_grwnDD0",0,0,-3748.43435742671,124.520804118903,159.936741173905,19.5305703194539,7496.86871485343,249.041608237807
"WY_1__R_rdLen",-135.16631430438,26.1995255723307,-3883.60067173121,125.393937054755,116.107449390833,11.1922622716462,7767.20134346242,250.78787410951
"WY_1__R_Edge",-164.641644160279,23.7846737617614,-3913.07600158701,127.771910199955,132.802500202165,13.5411044247392,7826.15200317402,255.54382039991
"WY_1__L_Pasture",-192.577701401639,29.3628115293725,-3941.01205882825,130.557389108303,203.285613982196,19.1217617447809,7882.02411765651,261.114778216605
"WY_1__L_SoilTSt",-195.955883113844,27.0640003766903,-3944.39024054053,128.788477687956,150.57124606063,13.9653490836304,7888.78048108105,257.576955375913
"WY_1__L_CnpyOpn",-209.614311490707,29.8504294738168,-3958.04866891726,132.351854211539,233.087738339224,21.2036804471643,7916.09733783451,264.703708423077
"WY_1__R_bldgPer",-229.029694595131,30.2737495272047,-3977.46405202174,128.715999997235,113.961135697512,10.9089431342098,7954.92810404348,257.431999994469
"WY_1__R_aspctN",-238.385725460778,23.750559347712,-3986.8200828874,129.755425269952,134.655623583773,13.6713428185726,7973.64016577479,259.510850539905
"WY_1__R_lcH",-240.619692926202,25.2263363218713,-3989.0540503529,129.810766058272,130.246976203113,13.6623351330993,7978.10810070581,259.621532116544
"WY_1__L_VegTot",-244.930644675314,25.8158243200454,-3993.36500210205,129.168468130323,142.635496031675,12.8128461164227,7986.7300042041,258.336936260645
"WY_1__L_Built",-252.346316119589,25.7525260758646,-4000.78067354622,129.5594744766,139.297695038929,12.6181619821131,8001.56134709244,259.118948953201
"WY_1__R_npp",-271.865655091124,26.2106777600595,-4020.30001251774,129.400296923796,112.417679476879,10.5463387090967,8040.60002503547,258.800593847592
"WY_1__R_Forest",-272.442099428815,29.0306597811229,-4020.87645685544,130.660415150113,128.095974113744,12.0801633624993,8041.75291371088,261.320830300226
"WY_1__R_AP",-536.389344485655,55.3509095414156,-4284.82370191251,135.092739044177,297.308382063627,26.0321549426536,8569.64740382501,270.185478088355
