"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Y_4__L_SoilTSt",0,0,-3776.21649167557,131.682620590512,397.115525752013,31.8484855979021,7552.43298335115,263.365241181024
"Y_4__L_Built",-5.02346846933259,11.7992228104009,-3781.2399601449,132.184401924482,389.832585388969,31.9523099405984,7562.4799202898,264.368803848964
"Y_4__L_VegTot",-7.45979902593306,12.0103042036157,-3783.67629070155,132.325672029016,387.969448184064,31.9723501979685,7567.3525814031,264.651344058033
"Y_4__R_rdLen",-20.6463141138223,12.8874117454801,-3796.86280578945,132.476191658196,394.782891688879,31.3987862103655,7593.7256115789,264.952383316392
"Y_4__R_bldgPer",-26.2027423813254,14.2455202802574,-3802.41923405696,133.699141973286,402.097243299632,34.8509941773046,7604.83846811391,267.398283946572
"Y_4__R_Edge",-33.9839205836884,14.9589989989901,-3810.2004122593,134.420848787537,428.29519371056,34.5058913486779,7620.40082451859,268.841697575075
"Y_4__R_npp",-38.2811356142307,13.4767935259508,-3814.49762728993,134.239701272274,414.289607095803,34.3886036275655,7628.99525457987,268.479402544547
"Y_4__R_aspctN",-43.018913561261,13.4677473466725,-3819.23540523682,134.435992163754,409.892728687037,34.1069868016694,7638.47081047364,268.871984327507
"Y_4__R_lcH",-45.8970327610283,13.3921538254594,-3822.11352443665,134.21657522645,414.889260524435,34.6817786796865,7644.22704887331,268.4331504529
"Y_4__R_Forest",-54.8220795431857,13.7634618584449,-3831.03857121889,133.010151410807,424.871418974684,32.9501506479539,7662.07714243778,266.020302821614
"Y_4__R_AP",-108.507440220843,17.8767340406227,-3884.72393189636,134.303115187008,460.525954568431,34.3273774470967,7769.44786379273,268.606230374016
