"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Y_12__R_AP",0,0,-4104.8965941507,142.256915570349,703.80380526994,45.7577221981646,8209.79318830139,284.513831140699
"Y_12__R_npp",-72.5474042533704,52.1518891038654,-4177.44399840402,153.397489840434,744.071127665379,68.2306251125218,8354.88799680804,306.794979680868
"Y_12__R_Forest",-282.981394488123,65.8462945477255,-4387.87798863871,156.883186571941,948.84430061344,76.8222250950949,8775.75597727743,313.766373143882
