"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Y_1__R_grwnDD0",0,0,-3781.79827980603,126.34983683829,215.660675309149,20.4265579928187,7563.59655961206,252.699673676579
"Y_1__L_SoilTSt",-115.901990226874,27.9824904821232,-3897.70027003289,126.56850786934,140.166350580849,13.954569363246,7795.40054006579,253.137015738679
"Y_1__L_CnpyOpn",-118.397788432694,29.869618878431,-3900.19606823889,128.926765936228,208.412850221466,19.2366293787863,7800.39213647778,257.853531872457
"Y_1__L_Pasture",-122.947612931692,29.3152485770572,-3904.74589273775,128.034777351638,183.892514130819,16.8928356614026,7809.49178547551,256.069554703276
"Y_1__R_Edge",-130.790349869637,26.2413793214871,-3912.58862967551,128.992489478224,172.933300455034,17.8690787331825,7825.17725935102,257.984978956447
"Y_1__R_rdLen",-143.376420225745,25.6708000153673,-3925.17470003189,126.369611049783,155.119258224713,13.4852595753537,7850.34940006378,252.739222099565
"Y_1__L_VegTot",-172.453589827676,26.580747776705,-3954.25186963357,127.839133685589,139.867927531571,14.0226833471967,7908.50373926715,255.678267371177
"Y_1__R_lcH",-190.562589879057,26.774298094609,-3972.36086968522,128.633317970106,139.980978859447,13.5433978057991,7944.72173937044,257.266635940213
"Y_1__R_npp",-223.370907703911,26.4962903585326,-4005.16918750983,128.23944721887,167.836480953891,14.3318085028607,8010.33837501965,256.47889443774
"Y_1__R_aspctN",-224.656979445582,26.4349219996277,-4006.4552592517,130.938267860209,166.936299846964,17.5301970381338,8012.91051850339,261.876535720418
"Y_1__R_bldgPer",-265.476562335752,31.8242870985657,-4047.27484214193,131.711657044452,167.138108843658,16.5828540306069,8094.54968428386,263.423314088904
"Y_1__R_AP",-395.552713887451,43.5857543766358,-4177.35099369366,132.336938824625,303.759302695771,25.8832609011397,8354.70198738733,264.673877649251
