"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"WY_3__L_CnpyOpn",0,0,-3715.76002732946,130.15490153517,290.44682151079,30.548483783086,7431.52005465892,260.30980307034
"WY_3__R_Forest",-4.98196001171572,24.0060392955377,-3720.74198734124,124.524836929403,170.821885194759,19.5663270822186,7441.48397468248,249.049673858807
"WY_3__L_Pasture",-19.4131561353707,24.0515708414524,-3735.17318346491,126.024413531127,224.637686530523,22.871617269238,7470.34636692981,252.048827062254
"WY_3__L_VegTot",-30.3482261167135,24.0439034416587,-3746.10825344618,124.680886704283,185.939638391301,20.2025189598969,7492.21650689237,249.361773408567
"WY_3__R_lcH",-32.3763693287556,23.87873173804,-3748.13639665825,125.026088277978,174.252138614219,20.8758494284514,7496.27279331649,250.052176555957
"WY_3__R_npp",-37.0701421347474,24.4828699482055,-3752.83016946389,125.075880709923,166.063088974514,19.6820354412395,7505.66033892778,250.151761419845
"WY_3__R_rdLen",-45.1792528957649,25.955786848533,-3760.93928022519,124.292247057318,163.245293574496,18.9065586753035,7521.87856045038,248.584494114635
"WY_3__L_Built",-47.8021250760784,24.0567118938733,-3763.56215240562,125.36445499723,184.33235041694,21.2456495278301,7527.12430481124,250.728909994461
"WY_3__R_aspctN",-48.557845552714,23.3877223485501,-3764.31787288227,125.937541988268,171.425247420118,22.5806756815122,7528.63574576455,251.875083976536
"WY_3__R_Edge",-55.5684901169297,23.4650920250689,-3771.32851744652,125.680587956117,176.811810626522,20.6841726095697,7542.65703489303,251.361175912233
"WY_3__R_bldgPer",-70.8344929070292,27.4968601490495,-3786.59452023668,124.955022655464,161.1590907006,19.6010294406202,7573.18904047337,249.910045310927
"WY_3__R_AP",-112.100000613676,28.965541415641,-3827.86002794322,124.573409218432,182.169121132864,17.9943880344839,7655.72005588645,249.146818436863
