"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Y_8__R_lcH",0,0,-3861.79604119475,133.837632646089,459.243088073359,32.9006516518093,7723.59208238951,267.675265292177
"Y_8__R_rdLen",-11.0319734957592,10.684589335423,-3872.82801469056,134.344838436858,461.540289713973,34.3033781012629,7745.65602938112,268.689676873717
"Y_8__R_aspctN",-17.1454778640384,11.3805781491889,-3878.94151905887,135.683528871834,473.258097040299,35.5093563555505,7757.88303811773,271.367057743669
"Y_8__R_npp",-19.4730328578397,13.0519763601728,-3881.26907405265,135.172664517392,476.305349950345,36.2074195290177,7762.53814810529,270.345329034784
"Y_8__R_Forest",-91.8382091554746,18.3944158188713,-3953.63425035029,136.251680866368,542.475511058597,39.2851379824619,7907.26850070057,272.503361732736
"Y_8__R_AP",-116.565524265364,20.2347547760495,-3978.36156546015,135.418580328782,541.931546340571,35.4668805391494,7956.72313092031,270.837160657564
"Y_8__R_Edge",-235.753781342199,39.9229270265965,-4097.54982253698,141.595301877674,677.398422435364,50.1941847442742,8195.09964507396,283.190603755347
