"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"WY_7__R_AP",0,0,-3690.02107902385,126.896929357455,329.641169411316,25.5490606261794,7380.04215804769,253.79385871491
"WY_7__L_Built",-13.0947536461175,10.280127640582,-3703.11583266992,127.42845063658,332.753284122969,26.1059175988266,7406.23166533984,254.85690127316
"WY_7__R_aspctN",-15.4217851192166,10.0430208551644,-3705.44286414311,127.865575152106,329.932504970132,26.6851785142607,7410.88572828623,255.731150304212
"WY_7__R_npp",-16.9217251611421,10.6154891087649,-3706.94280418501,128.294409852699,329.212064585767,27.4415665969273,7413.88560837002,256.588819705397
"WY_7__L_VegTot",-18.1087518125811,10.1726393237253,-3708.12983083641,127.708137867281,338.021690579164,26.2449036015901,7416.25966167283,255.416275734562
"WY_7__R_bldgPer",-23.0429333627719,12.17716178065,-3713.06401238666,127.097896687757,322.516839365958,25.7500650199975,7426.12802477332,254.195793375514
"WY_7__R_Edge",-24.7198573584007,10.7432130804233,-3714.74093638222,128.427325836411,339.919078614075,27.0615257742612,7429.48187276445,256.854651672822
"WY_7__R_lcH",-33.4146843330606,11.3566891682377,-3723.43576335692,127.904209158872,347.732446369397,27.5651632868732,7446.87152671384,255.808418317744
