"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Y_2__L_CnpyOpn",0,0,-3737.38203228717,130.115999032303,336.785177891883,29.8345579573457,7474.76406457433,260.231998064605
"Y_2__L_SoilTSt",-14.3829093384202,24.2737986172225,-3751.76494162572,128.562392391014,275.52193194913,28.2273091617246,7503.52988325143,257.124784782028
"Y_2__L_VegTot",-40.5141299201198,22.1270411695758,-3777.89616220744,127.213958730011,252.133450901953,23.2909674624251,7555.79232441489,254.427917460021
"Y_1__R_grwnDD0",-44.4162475187256,22.2483999543927,-3781.79827980603,126.34983683829,215.660675309149,20.4265579928187,7563.59655961206,252.699673676579
"Y_2__L_Pasture",-49.2152062684029,21.4292774408337,-3786.59723855584,128.890180513892,293.174177841929,26.2780899217243,7573.19447711169,257.780361027784
"Y_2__R_lcH",-92.5136493017896,21.7213325259448,-3829.895681589,128.423635553195,264.986355387548,22.8560081262524,7659.791363178,256.84727110639
"Y_2__R_npp",-93.3359894609283,22.2338441988871,-3830.71802174813,128.199646445798,255.230843919071,22.2519397213746,7661.43604349626,256.399292891596
"Y_2__R_Edge",-112.384740256085,23.777655609081,-3849.76677254316,129.985007512643,282.140315156829,26.7362524626501,7699.53354508632,259.970015025285
"Y_2__R_aspctN",-113.969673929528,22.8220741852796,-3851.35170621693,129.998869863108,267.895565840111,24.4892818332213,7702.70341243386,259.997739726217
"Y_2__R_rdLen",-114.77317664374,23.2129105485355,-3852.15520893092,127.634488190128,254.51997453153,21.8499393288823,7704.31041786183,255.268976380256
"Y_2__R_bldgPer",-135.19327601346,23.5493165411393,-3872.57530830091,129.061390967749,267.264283246663,23.6023758957601,7745.15061660182,258.122781935498
"Y_1__L_SoilTSt",-160.318237745599,36.7028755099235,-3897.70027003289,126.56850786934,140.166350580849,13.954569363246,7795.40054006579,253.137015738679
"Y_1__L_CnpyOpn",-162.81403595142,27.3073970268014,-3900.19606823889,128.926765936228,208.412850221466,19.2366293787863,7800.39213647778,257.853531872457
"Y_1__L_Pasture",-167.363860450417,34.9275537939082,-3904.74589273775,128.034777351638,183.892514130819,16.8928356614026,7809.49178547551,256.069554703276
"Y_1__R_Edge",-175.206597388362,35.6136621663148,-3912.58862967551,128.992489478224,172.933300455034,17.8690787331825,7825.17725935102,257.984978956447
"Y_1__R_rdLen",-187.792667744471,35.4727559634008,-3925.17470003189,126.369611049783,155.119258224713,13.4852595753537,7850.34940006378,252.739222099565
"Y_2__R_AP",-212.826776472949,28.114946836025,-3950.20880876039,129.496981349904,317.822923140324,24.7890709104801,7900.41761752078,258.993962699807
"Y_1__L_VegTot",-216.869837346402,35.9828134465982,-3954.25186963357,127.839133685589,139.867927531571,14.0226833471967,7908.50373926715,255.678267371177
"Y_1__R_lcH",-234.978837397782,36.3757921925519,-3972.36086968522,128.633317970106,139.980978859447,13.5433978057991,7944.72173937044,257.266635940213
"Y_1__R_npp",-267.787155222637,35.9609397690815,-4005.16918750983,128.23944721887,167.836480953891,14.3318085028607,8010.33837501965,256.47889443774
"Y_1__R_aspctN",-269.073226964308,36.5716270489193,-4006.4552592517,130.938267860209,166.936299846964,17.5301970381338,8012.91051850339,261.876535720418
"Y_1__R_bldgPer",-309.892809854477,40.5742679095823,-4047.27484214193,131.711657044452,167.138108843658,16.5828540306069,8094.54968428386,263.423314088904
"Y_1__R_AP",-439.968961406177,50.1822361232286,-4177.35099369366,132.336938824625,303.759302695771,25.8832609011397,8354.70198738733,264.673877649251
