"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"WY_1__R_grwnDD0",0,0,-3709.42645247399,122.290067391755,141.650656404501,15.7547768957271,7418.85290494798,244.580134783509
"WY_1__R_rdLen",-138.76516455446,24.4750030953007,-3848.19161702899,124.452785081426,108.247900219756,10.5439406353172,7696.38323405797,248.905570162852
"WY_1__R_Edge",-172.704802652687,22.9966144857238,-3882.13125512691,127.182822780611,124.440769550209,11.892953914501,7764.26251025382,254.365645561221
"WY_1__L_SoilTSt",-190.045485758272,25.8896572528905,-3899.47193823236,127.370469216091,144.034071377174,13.8996754097668,7798.94387646473,254.740938432183
"WY_1__L_Pasture",-202.69034453064,27.1386840787431,-3912.1167970048,129.169209093832,187.639328955364,17.3162697605224,7824.23359400959,258.338418187664
"WY_1__L_CnpyOpn",-217.783940229883,30.4435502012021,-3927.21039270363,131.803703054674,231.876081410306,22.1049174834037,7854.42078540726,263.607406109347
"WY_1__L_VegTot",-230.411453546424,24.0260609523136,-3939.83790602047,127.360054799831,126.237942835571,11.3690695643593,7879.67581204094,254.720109599661
"WY_1__R_lcH",-234.653937264819,23.5387606075115,-3944.08038973901,128.363374742934,129.466062238565,13.8045378631568,7888.16077947802,256.726749485869
"WY_1__R_bldgPer",-238.245437774884,28.727147349532,-3947.67189024889,127.030906893583,101.741323744231,9.28599708533616,7895.34378049778,254.061813787166
"WY_1__R_aspctN",-239.921274894742,22.7037211178552,-3949.34772736867,128.352605826702,127.872279038367,13.1049418543643,7898.69545473733,256.705211653403
"WY_1__R_npp",-268.153713730563,24.3310557865682,-3977.58016620444,128.100862593214,107.648408388466,11.0700713420015,7955.16033240888,256.201725186429
"WY_1__R_AP",-469.376097739771,47.9931350539053,-4178.80255021374,131.16397945495,242.478147251204,19.9276425880867,8357.60510042748,262.327958909901
