"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Y_11__R_Edge",0,0,-3993.07627784568,139.734027310588,579.024904190748,38.0128122684671,7986.15255569135,279.468054621176
"Y_11__R_npp",-47.8883638503446,40.449743415866,-4040.96464169603,145.70152744175,599.552844066709,54.8647966895322,8081.92928339206,291.4030548835
"Y_11__R_AP",-54.541020783641,21.3973751785806,-4047.61729862935,138.893287224456,606.819970806377,38.150872706747,8095.23459725871,277.786574448911
"Y_11__R_Forest",-288.481896020772,65.685558264483,-4281.55817386648,155.579565789226,823.633303966168,76.7478920922042,8563.11634773297,311.159131578451
