"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Y_2__L_CnpyOpn",0,0,-3775.31882976437,131.805497415809,349.256057502943,31.2716252726639,7550.63765952874,263.610994831618
"Y_2__L_SoilTSt",-22.5601855397197,23.5995524813521,-3797.87901530428,129.307440411433,288.679393954573,26.8831917988798,7595.75803060855,258.614880822865
"Y_2__L_Pasture",-48.6591098879373,20.9148118218076,-3823.97793965238,130.36709672393,306.310671541173,27.6772459600625,7647.95587930477,260.734193447861
"Y_2__L_VegTot",-70.8781353595745,20.6737882041845,-3846.19696512424,130.087001760958,280.167052586957,26.3862412461218,7692.39393024848,260.174003521917
"Y_2__L_Built",-76.7190503069701,21.3807251849069,-3852.0378800715,129.35343794936,264.848771557613,24.2447954139874,7704.075760143,258.70687589872
"Y_2__R_bldgPer",-96.251396774173,20.7819681989403,-3871.57022653865,130.148179920414,265.618474165584,25.3944120535402,7743.14045307731,260.296359840827
"Y_2__R_Edge",-106.108578888882,21.4503124735442,-3881.42740865356,131.046818771623,290.111779982403,26.8226877757419,7762.85481730711,262.093637543247
"Y_2__R_Forest",-108.887899752823,20.8228173322994,-3884.20672951737,131.129886253111,328.088424022507,28.1675404978778,7768.41345903475,262.259772506222
"Y_2__R_npp",-110.543390783674,20.833477232041,-3885.86222054822,131.002047893019,290.071071989979,26.320685474022,7771.72444109644,262.004095786038
"Y_2__R_rdLen",-110.967734262145,21.3003051171791,-3886.28656402677,130.632232662203,276.087358737466,25.7838085143654,7772.57312805353,261.264465324406
"Y_2__R_aspctN",-120.305165590933,21.596631163491,-3895.62399535536,131.770712948269,282.983029792321,27.1251329262002,7791.24799071073,263.541425896538
"Y_2__R_lcH",-128.715632961816,20.7749923876371,-3904.03446272635,131.506428293856,291.817908197891,27.1684034377356,7808.06892545271,263.012856587712
"Y_2__R_AP",-235.264041233353,26.9399205467156,-4010.58287099802,131.703289340405,353.191949089999,27.2747144780767,8021.16574199605,263.40657868081
