"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Y_3__L_SoilTSt",0,0,-3731.04526637647,130.412196722265,356.462193764843,31.3266793306502,7462.09053275293,260.824393444529
"Y_3__L_Pasture",-4.30053958553538,15.0896883477026,-3735.3458059619,130.418616998227,362.415276190098,30.2085950307181,7470.6916119238,260.837233996455
"Y_3__L_CnpyOpn",-5.71206657871599,11.2481270299138,-3736.75733295519,129.258249932537,327.270524024435,29.6353016536602,7473.51466591038,258.516499865074
"Y_3__L_VegTot",-13.3208148816193,12.5099555839823,-3744.36608125808,130.653075378547,350.085325484535,30.6170402992809,7488.73216251615,261.306150757094
"Y_3__R_rdLen",-20.9032702074587,13.2381442680161,-3751.9485365838,129.423917726876,343.804840286575,27.7175180663531,7503.89707316759,258.847835453751
"Y_3__R_lcH",-36.367171301072,11.6301053676107,-3767.41243767744,131.090011645837,361.044032460493,31.1358948571299,7534.82487535489,262.180023291675
"Y_3__R_npp",-44.1101651242739,13.291307208925,-3775.15543150072,131.108719779274,353.026256279293,29.0512368819743,7550.31086300144,262.217439558549
"Y_3__R_aspctN",-45.0475240766703,12.2211509274521,-3776.09279045308,131.862021730084,364.262533098665,31.3928293597918,7552.18558090615,263.724043460168
"Y_3__R_Edge",-47.6614107889064,14.5262129591872,-3778.70667716531,132.057482408978,377.256548563049,31.9692682553145,7557.41335433061,264.114964817956
"Y_3__R_bldgPer",-54.3715175638708,12.3016863140626,-3785.41678394035,131.824136046634,370.208508391343,31.3996758187639,7570.83356788069,263.648272093269
"Y_3__R_AP",-168.915744829991,27.8448314906465,-3899.96101120664,132.288653396794,445.814588458272,33.8216350032627,7799.92202241329,264.577306793588
