"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"WY_8__L_VegTot",0,0,-3700.32995824246,127.516001801175,332.040624291084,25.7629536333569,7400.65991648493,255.032003602349
"WY_8__R_aspctN",-3.74844634123706,7.26665002050173,-3704.07840458367,127.406135438562,332.523464463718,25.9857032145134,7408.15680916733,254.812270877124
"WY_8__L_Built",-3.84083662962998,6.24280316396416,-3704.17079487208,127.332839979487,343.19775040912,26.2665369905857,7408.34158974416,254.665679958974
"WY_8__R_npp",-5.06031461791317,7.68695022909925,-3705.39027286038,128.077330635844,340.557204309585,27.2029933542865,7410.78054572075,256.154661271687
"WY_8__R_Edge",-9.13081620616761,7.24704458561996,-3709.46077444862,127.990566940159,345.464051901359,26.1949723329633,7418.92154889723,255.981133880319
"WY_8__R_lcH",-15.5187096654492,8.68324335605172,-3715.84866790788,127.021036185624,345.165764397411,26.064079738641,7431.69733581577,254.042072371248
"WY_8__R_bldgPer",-17.0513318409721,9.37392010618382,-3717.38129008343,127.631087102,343.296394803421,27.0419768594973,7434.76258016686,255.262174204
