"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"WY_11__R_aspctN",0,0,-3735.145005603,128.151821256323,363.257531398808,26.1235783973829,7470.29001120599,256.303642512646
"WY_11__R_Edge",-9.14448787098014,6.97738974868242,-3744.28949347401,129.472677474412,376.442140311917,27.868856424042,7488.57898694802,258.945354948823
"WY_11__R_lcH",-10.4449178117242,9.5083081426321,-3745.58992341474,128.044145226435,380.320632796777,27.0493802779363,7491.17984682949,256.08829045287
"WY_11__R_bldgPer",-11.9765756911159,8.48098461026349,-3747.12158129412,127.996943509288,366.016050504239,25.7590349392547,7494.24316258824,255.993887018576
